"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8345420279829","54.2204840664361","57.9092747102543","60.511730109102","56.6208316991428","57.4467898753702","56.1965622017724","53.5449985374437","58.7834892967479","69.2036602359509","71.8270449566809","66.8944344576015","73.0407417036104","67.4196422171478","69.5869442457704","71.7417951532194","78.012084907796","76.5954540971044","74.635391727952","76.2780057426792","108.444239312685","104.046760433579","93.1727701661296","81.4010032615131","","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","33.6466227420881","28.9989998376807","29.4888908703073","30.578955812695","30.591518920066","33.7721796543158","33.2048906520365","34.26924107996","35.7452890177659","34.8411629987484","36.2379094856882","34.5995015874368","34.2539236200556","35.3178652326464","34.977155089487","35.1586928155524","35.3890435816667","34.7764585695521","39.3936268535106","35.7610674107169","34.1976107031769","33.8418136518885","36.2857077824976","37.2201111178139","37.6319193931131","35.6715122440194","35.4088785643343","37.8752398575352","35.7835165739844","36.5487016741809","37.1225878147286","37.3219026254504","38.8083226433339","39.7522532389484","40.3085983088894","35.8524687366877","39.6137927996771","41.1113701449598","42.3446327946706","43.0328255390635","44.783675715409","46.4811857341221","48.717492469165","48.1972852388576","49.3510545454235","49.0635362719142","48.1973582565415","46.9167052556862","44.5488500563046","44.5622793075476","46.5463148324489","46.2002999777326","44.8308431643813","45.9189247431434","47.9362472577311","52.0206425112976","50.0788689359646","46.9506904490686","48.4307458856785","","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.5081887366299","","","","","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2734177710966","11.4394085191347","11.7521689620995","11.7835886312416","12.887035814451","12.485592144903","12.6109379358215","13.0334856786326","14.0045335021399","14.3926454770828","12.7988835873388","12.9940160306215","13.5482803016149","14.1746722676842","15.2054377533925","18.0207711791123","20.2088143175556","22.4402092693486","21.4951550329103","21.8943301306992","24.8807126062908","12.8409159844551","13.1480915593909","14.1659855858509","15.2982714131179","15.3091025787354","16.3340605118784","16.2366142239909","16.5946685481349","15.8825055589397","16.3113778423263","16.4351247462826","17.032762658767","16.4474715313992","16.1012914714194","12.4934650711471","10.8636495757809","11.2712125467292","12.0086578786427","14.3773179087499","15.1950939279123","111.937506483781","113.344836990342","107.403397270447","92.2563295142875","90.869389959889","86.0969978855012","90.560986290375","96.0744611630539","121.64909007231","110.024481828456","114.471666680408","127.799358501762","126.296657306239","136.032254196416","23.4466504665359","26.772767691176","25.2047406387349","25.7729811400806","20.4705391943052","22.9535808152796","23.9381965365019","24.2100018049825","","","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","14.1716078329291","11.8286814245232","11.823711826558","11.8779284746281","14.53299734122","18.2712730929169","28.2495306190181","39.2457687887471","30.4992141555069","31.144789456155","28.1107170441561","29.6352671500319","31.610917621527","36.1345261001086","34.5078006959851","28.109929668","27.2014834675071","29.5877017574321","33.0224968288013","21.6192740789424","17.3139298862804","19.9737988740528","16.1125624315008","",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","39.9003561002881","45.7254020794631","59.0068723402781","60.9371368808022","64.5783078882982","63.5599468122678","67.4664768586027","64.3805252433391","63.2967127997241","66.1759603765893","69.6480677719623","74.2421409522518","75.3629870166826","73.3334018869234","74.3824850094564","78.0331538048733","81.7533775274234","84.7935078469227","84.968214908499","85.2116447508147","84.1762421576985","84.8926416816837","80.2333904511715","76.1147973097136","77.0228458919593","87.9833118311654","84.7663849065875","77.1857276233038","71.8287505653681","","",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","24.9644349995469","25.7075019878915","25.3216686063882","26.3938871018072","26.6145752377637","26.7126629027835","27.6648825158693","29.273850696077","30.1961365967312","30.6238535284449","29.8365447460371","28.8954605215496","31.3712310445229","30.6483547957204","21.2050401275215","25.8973261974208","27.1125519701979","29.8270956649297","34.5026242422244","30.9101060316685","28.3309517762727","31.750348128232","38.4899427991984","45.164885660452","49.4368610164439","54.3907148496545","60.9961329484212","61.7286873527099","63.2181970735696","58.4985348917878","50.6180517253307","51.0926863093179","53.2776191012849","54.8930976128814","54.827422868513","53.6915133948183","51.8591325376193","52.522271507411","57.8014298835605","57.0760482497127","53.7069998286505","60.0296113842768","63.0371411795639","61.9772485775113","58.3885495355896","54.9587853448485","55.3565975700347","59.7973185540121","57.0399348858778","71.7015878084856","65.8831061652404","60.7520784688625","59.581567783291","64.0625622291677","68.423220360029","78.7718914264744","83.8391839808615","80.8583831588257","","","","","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","13.3454008054622","13.0838251384067","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","68.4736347532478","60.025053221487","58.9002408262128","69.3246901040697","72.1161467841702","84.60367722748","87.4166105505844","86.1465628160107","80.8693926970865","88.6779192190734","112.726456284588","100.748284148159","90.7086254458559","105.395424444989","114.25616765422","",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735342","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.4406025952303","24.3871239938128","27.1756452732208","27.1962424074471","25.8217018451822","27.6908850429799","28.3723031009504","28.4952801666658","30.4107564833182","26.1830389518599","34.5052631692152","30.730954428888","32.1918357210048","35.8218519913698","26.3339310389634","",
