"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4636209813875","88.7044534412956","86.2509117432531","83.629654478363","84.6303501945525","70.6868685663848","69.3943248480407","68.6664578409317","70.0630780331023","67.7653712810757","76.9749819561498","76.4484740814733","74.9110469524375","73.5808547588983","74.6380124647528","75.2464685871092","84.6867741066482","83.5416514017811","82.1554685240735","81.0364296072738","70.1712783348627","67.9206032637667","69.0796838844953","70.4161082846835","71.2401417712412","69.1467943980567","72.3978928801098","79.8276653967588","76.6185220220193","76.372791820404","",
"Africa Eastern and Southern","AFE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6161585473318","19.4426564438368","21.0267134818431","21.1660437937336","23.9932907529904","25.8567664874208","26.3947124551468","26.028051451893","27.160250434957","25.6506384831653","25.8106139240574","26.5191683112241","27.3914131792106","25.9886726918966","26.6901559145131","27.7830196851241","29.0354495235891","31.2935995127487","35.3100156306885","30.6910656620183","29.4051934461214","31.6662551578502","32.6271153016894","33.7055238029989","32.9660764178451","30.7059498993179","28.6993533910387","27.4324165201491","28.5037733309143","27.4780205936533","24.4960952677148","26.3405950538246","29.598712363185","29.3881259584923","28.4793703173502","",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2890774127896","37.06956357719","54.5054272070161","50.7318770310383","","",
"Africa Western and Central","AFW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0732824923866","43.1162552167314","39.3418615864269","36.6181931014669","27.7712655504947","36.0151221411341","43.649876554331","51.3637968625849","37.1015470035257","34.9164118606283","31.9124178357908","32.117480451865","32.5658156987505","28.830449165525","22.3564008849907","20.2071071691424","22.6705849468909","23.5544932092602","22.7684006770612","22.0767295982202","20.0587202496772","20.7071811983153","19.3587070910069","",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","27.8690477261306","32.9166369875764","34.6885288285564","35.9033228751103","33.4219849707784","42.0787901456396","43.633879639684","45.8202791003667","44.6593347174316","43.4861860965483","46.6735108205055","47.6933170159667","52.7810809795909","50.6658853595192","48.676733103645","47.9226032986331","51.644524727632","47.8575873806007","46.8812165543279","46.9528588208631","44.2101251985694","45.3446572805207","45.7855860010406","44.5800648295474","44.4460064468406","36.9799408832942","44.457347833234","47.5009680329889","43.9336721089435","43.1697675400758","",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2136381324889","38.2368674142365","37.8417685783657","37.1137451434196","32.8867434235226","33.6182220877592","32.0569543822027","31.8935018825741","33.4451977545497","31.3300161197054","29.9245643591184","30.7768308873201","31.6841949641023","32.5615528793135","35.1230647458309","35.1101024203587","35.0163641718853","39.3795658405382","40.1648467998459","41.6977269688233","36.6982730295085","35.2060970347176","35.8526809407292","36.9552513985729","38.1930046850137","40.4391228579793","38.0680445559143","38.7536204023703","36.3235355753109","37.1067838117313","36.7413415885933","35.657204889597","35.9592828943581","39.818091426224","","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","58.0401747714045","58.5481385028301","61.036828248069","61.6429004451015","64.7417589776089","70.4236396453939","70.9202657048941","70.7391461078281","63.9040468937061","70.5198438247132","83.2194206348057","82.2667807989604","83.6896720086852","92.1988402202852","","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632785012","7.32639415522164","5.71540643432211","6.32976917437938","6.48369977956918","7.37192799857345","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995287","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367662","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9693177780045","16.3258502050892","14.7057366680037","13.5982843701675","15.0119803984295","15.2985115353002","13.8546391521167","12.6800122564846","",
